area_code,imd_decile
LSOA::E01000374,2
LSOA::E01000375,6
LSOA::E01000376,7
LSOA::E01000377,7
LSOA::E01000379,5
LSOA::E01000380,4
LSOA::E01000381,4
LSOA::E01000382,10
LSOA::E01000383,6
LSOA::E01000384,7
LSOA::E01000385,3
LSOA::E01000386,2
LSOA::E01000387,9
LSOA::E01000388,9
LSOA::E01000389,8
LSOA::E01000390,9
LSOA::E01000391,7
LSOA::E01000392,4
LSOA::E01000393,9
LSOA::E01000394,9
LSOA::E01000395,10
LSOA::E01000396,10
LSOA::E01000398,5
LSOA::E01000399,9
LSOA::E01000400,7
LSOA::E01000401,4
LSOA::E01000402,4
LSOA::E01000403,2
LSOA::E01000404,2
LSOA::E01000405,4
LSOA::E01000406,5
LSOA::E01000407,7
LSOA::E01000408,3
LSOA::E01000409,10
LSOA::E01000410,9
LSOA::E01000411,8
LSOA::E01000412,8
LSOA::E01000413,8
LSOA::E01000414,6
LSOA::E01000415,10
LSOA::E01000416,4
LSOA::E01000417,5
LSOA::E01000418,6
LSOA::E01000419,9
LSOA::E01000420,8
LSOA::E01000421,10
LSOA::E01000422,3
LSOA::E01000423,10
LSOA::E01000424,9
LSOA::E01000425,10
LSOA::E01000426,8
LSOA::E01000427,7
LSOA::E01000428,4
LSOA::E01000429,2
LSOA::E01000430,5
LSOA::E01000431,2
LSOA::E01000433,2
LSOA::E01000434,2
LSOA::E01000435,3
LSOA::E01000436,10
LSOA::E01000437,8
LSOA::E01000438,6
LSOA::E01000439,3
LSOA::E01000440,10
LSOA::E01000441,2
LSOA::E01000442,8
LSOA::E01000443,6
LSOA::E01000444,10
LSOA::E01000445,10
LSOA::E01000446,10
LSOA::E01000447,7
LSOA::E01000448,10
LSOA::E01000449,10
LSOA::E01000450,6
LSOA::E01000451,9
LSOA::E01000452,10
LSOA::E01000453,9
LSOA::E01000454,6
LSOA::E01000455,9
LSOA::E01000456,10
LSOA::E01000457,7
LSOA::E01000458,10
LSOA::E01000459,6
LSOA::E01000460,10
LSOA::E01000461,10
LSOA::E01000462,7
LSOA::E01000463,10
LSOA::E01000464,3
LSOA::E01000465,3
LSOA::E01000466,3
LSOA::E01000467,4
LSOA::E01000468,5
LSOA::E01000469,5
LSOA::E01000470,2
LSOA::E01000471,4
LSOA::E01000472,4
LSOA::E01000473,3
LSOA::E01000474,4
LSOA::E01000475,3
LSOA::E01000476,4
LSOA::E01000477,2
LSOA::E01000478,3
LSOA::E01000479,6
LSOA::E01000480,6
LSOA::E01000481,3
LSOA::E01000483,2
LSOA::E01000484,3
LSOA::E01000485,4
LSOA::E01000486,6
LSOA::E01000487,4
LSOA::E01000488,4
LSOA::E01000489,5
LSOA::E01000490,4
LSOA::E01000491,5
LSOA::E01000492,6
LSOA::E01000493,7
LSOA::E01000494,4
LSOA::E01000495,3
LSOA::E01000497,3
LSOA::E01000498,1
LSOA::E01000499,1
LSOA::E01000501,2
LSOA::E01000502,2
LSOA::E01000503,2
LSOA::E01000504,4
LSOA::E01000505,4
LSOA::E01000506,2
LSOA::E01000507,4
LSOA::E01000508,1
LSOA::E01000509,1
LSOA::E01000510,1
LSOA::E01000511,2
LSOA::E01000512,4
LSOA::E01000513,4
LSOA::E01000514,5
LSOA::E01000515,3
LSOA::E01000516,4
LSOA::E01000517,6
LSOA::E01000518,4
LSOA::E01000519,3
LSOA::E01000520,3
LSOA::E01000521,1
LSOA::E01000522,2
LSOA::E01000523,1
LSOA::E01000524,1
LSOA::E01000525,2
LSOA::E01000526,1
LSOA::E01000527,1
LSOA::E01000528,1
LSOA::E01000530,6
LSOA::E01000531,3
LSOA::E01000532,4
LSOA::E01000533,1
LSOA::E01000534,5
LSOA::E01000535,3
LSOA::E01000536,7
LSOA::E01000538,8
LSOA::E01000539,7
LSOA::E01000540,8
LSOA::E01000541,5
LSOA::E01000543,5
LSOA::E01000544,3
LSOA::E01000545,2
LSOA::E01000546,3
LSOA::E01000547,5
LSOA::E01000548,2
LSOA::E01000549,6
LSOA::E01000550,2
LSOA::E01000551,3
LSOA::E01000552,3
LSOA::E01000553,2
LSOA::E01000554,3
LSOA::E01000555,5
LSOA::E01000556,2
LSOA::E01000557,3
LSOA::E01000558,3
LSOA::E01000559,4
LSOA::E01000560,4
LSOA::E01000561,4
LSOA::E01000562,7
LSOA::E01000563,8
LSOA::E01000564,4
LSOA::E01000565,4
LSOA::E01000566,6
LSOA::E01000567,4
LSOA::E01000568,7
LSOA::E01000569,8
LSOA::E01000570,3
LSOA::E01000571,4
LSOA::E01000572,6
LSOA::E01000573,5
LSOA::E01000574,5
LSOA::E01000575,4
LSOA::E01000576,5
LSOA::E01000577,2
LSOA::E01000578,3
LSOA::E01000579,4
LSOA::E01000580,5
LSOA::E01000581,5
LSOA::E01000582,6
LSOA::E01000583,5
LSOA::E01000584,6
LSOA::E01000585,5
LSOA::E01000586,3
LSOA::E01000587,5
LSOA::E01000589,5
LSOA::E01000590,6
LSOA::E01000591,4
LSOA::E01000592,4
LSOA::E01000593,4
LSOA::E01000594,4
LSOA::E01000595,1
LSOA::E01000596,1
LSOA::E01000599,2
LSOA::E01000601,1
LSOA::E01000602,2
LSOA::E01000603,1
LSOA::E01000604,1
LSOA::E01000605,1
LSOA::E01000606,3
LSOA::E01000607,4
LSOA::E01000608,3
LSOA::E01000609,4
LSOA::E01000610,3
LSOA::E01000611,5
LSOA::E01000612,3
